epoch (MJD),epoch (seconds TDB),x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
59091.50000,652060869.1826417446136475,261170.7469799282262102,-312286.2705773166380823,-126741.9998823091009399,1.0858423861515092,0.8302374092240273,0.2192622975054218
59091.75000,652082469.1826417446136475,283968.9348056996241212,-293705.4463718666229397,-122041.8417631904594600,1.0240838735930036,0.8887769568072440,0.2157784105905221
59092.00000,652104069.1826417446136475,305374.5634332072222605,-273955.5390924476087093,-117423.6485467550228350,0.9572420893611182,0.9383964384833151,0.2118337843511700
59092.25000,652125669.1826417446136475,325299.6088387242634781,-253232.0952385619166307,-112887.7118696415855084,0.8873095602541994,0.9789578625702268,0.2082839054478873
59092.50000,652147269.1826417446136475,343696.5943472480284981,-231726.2408532168774400,-108418.6515770200639963,0.8160095988893095,1.0109644268363733,0.2057149626619698
59092.75000,652168869.1826417446136475,360550.8984351395629346,-209613.8237223766627721,-103991.4978260813513771,0.7446502808154264,1.0352813918178716,0.2044338645256557
59093.00000,652190469.1826417446136475,375871.5455847642733715,-187050.3563909253862221,-99577.2080116328870645,0.6741210218997306,1.0528924209803729,0.2045227960280314
59093.25000,652212069.1826417446136475,389682.8918565546046011,-164170.3280576258257497,-95146.7136515647434862,0.6049676654319888,1.0647415629970045,0.2059144154196814
59093.50000,652233669.1826417446136475,402018.2431505585554987,-141089.0126525641244370,-90673.3939187592623057,0.5374887979270051,1.0716566997296386,0.2084592220418225
59093.75000,652255269.1826417446136475,412915.4718172999564558,-117905.2808744538924657,-86134.2875491594895720,0.4718211739531379,1.0743283805379806,0.2119743695956159
59094.00000,652276869.1826417446136475,422414.2496592351235449,-94704.5106247367075412,-81510.4546295405307319,0.4080033946945300,1.0733181639277452,0.2162741106136133
59094.25000,652298469.1826417446136475,430554.4222454802365974,-71561.1665713341499213,-76786.8408970024029259,0.3460185342616652,1.0690786783488353,0.2211862505215653
59094.50000,652320069.1826417446136475,437375.1190517446957529,-48540.9138707608217373,-71951.8940209265856538,0.2858205483293756,1.0619755972887370,0.2265593872021996
59094.75000,652341669.1826417446136475,442914.3060628455132246,-25702.2793139426757989,-66997.0880937002802966,0.2273496234990266,1.0523071540098876,0.2322646908472399
59095.00000,652363269.1826417446136475,447208.5885607231757604,-3097.9313695049431772,-61916.4448222894570790,0.1705405687192428,1.0403198435830534,0.2381947613679795
59095.25000,652384869.1826417446136475,450293.1466751507832669,19224.3377026558227954,-56706.0962198052511667,0.1153270964378659,1.0262203814870363,0.2442611239531721
59095.50000,652406469.1826417446136475,452201.7361604311154224,41220.8528466669449699,-51363.9076229547936236,0.0616438154214528,1.0101845201804720,0.2503912552935261
59095.75000,652428069.1826417446136475,452966.7178865491296165,62851.4600785286602331,-45889.1654730612281128,0.0094270341809893,0.9923634273234209,0.2565256152798123
59096.00000,652449669.1826417446136475,452619.0978170474409126,84079.0475627036212245,-40282.3269385368257645,-0.0413849948644345,0.9728882550417138,0.2626149135208498
59096.25000,652471269.1826417446136475,451188.5694876626366749,104869.1504931080417009,-34544.8251318514521699,-0.0908520478310066,0.9518734033263508,0.2686177030992704
59096.50000,652492869.1826417446136475,448703.5564105517696589,125189.6158695261401590,-28678.9225450092417304,-0.1390319443581673,0.9294188562457962,0.2744983217485567
59096.75000,652514469.1826417446136475,445191.2544641689164564,145010.3102783263311721,-22687.6053219284367515,-0.1859805260163668,0.9056118661918557,0.2802251652456066
59097.00000,652536069.1826417446136475,440677.6754272702382877,164302.8588342045841273,-16574.5115052372857463,-0.2317515700464327,0.8805281821428775,0.2857692625346655
59097.25000,652557669.1826417446136475,435187.6931087868870236,183040.4070132039778400,-10343.8871188761750091,-0.2763966361291744,0.8542329601485321,0.2911031172255947
59097.50000,652579269.1826417446136475,428745.0934302679379471,201197.3996247668692376,-4000.5647173002466843,-0.3199648557527039,0.8267814533407118,0.2961997800987737
59097.75000,652600869.1826417446136475,421372.6295536184916273,218749.3729468125966378,2450.0402231485768425,-0.3625026781643315,0.7982195503384322,0.3010321191824293
59098.00000,652622469.1826417446136475,413092.0828324017929845,235672.7573099829605781,9001.9189986423061782,-0.4040535875863529,0.7685842112863691,0.3055722563168921
59098.25000,652644069.1826417446136475,403924.3300573949818499,251944.6883247087826021,15648.4487375632688781,-0.4446578053408338,0.7379038370950869,0.3097911412098379
59098.50000,652665669.1826417446136475,393889.4171904188115150,267542.8256019977270626,22382.3634969891936635,-0.4843519887920796,0.7061985977300033,0.3136582356085079
59098.75000,652687269.1826417446136475,383006.6395436405437067,282445.1782964437152259,29195.7194899400237773,-0.5231689371151598,0.6734807381767767,0.3171412813832854
59099.00000,652708869.1826417446136475,371294.6281651641475037,296629.9371383622055873,36079.8559803919706610,-0.5611373120782251,0.6397548751018038,0.3202061271367117
59099.25000,652730469.1826417446136475,358771.4420330879511312,310075.3128522282931954,43025.3528416393382940,-0.5982813804404338,0.6050182925817890,0.3228165885635259
