epoch (MJD),epoch (seconds TDB),x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
59091.50000,652060869.1826417446136475,228109.4508585554722231,-281596.6824599817045964,-145868.2838016732712276,0.8370030510547439,0.5409051713865779,0.1576264012403217
59091.75000,652082469.1826417446136475,245826.1979708687867969,-269476.4443050502450205,-142235.6822299653722439,0.8030459613756026,0.5809979643400441,0.1786133852339599
59092.00000,652104069.1826417446136475,262784.6532115224981681,-256512.6468994759488851,-138157.2309147987689357,0.7668135557544556,0.6189970743406173,0.1988997342685426
59092.25000,652125669.1826417446136475,278937.1546579303685576,-242751.4842595899244770,-133648.6382394273823593,0.7284439073271961,0.6548140197178255,0.2184327869462303
59092.50000,652147269.1826417446136475,294239.0585473737446591,-228240.9724749008018989,-128726.7143483596591977,0.6880783122173231,0.6883685686938000,0.2371631973913094
59092.75000,652168869.1826417446136475,308648.8030880908481777,-213030.7718036376172677,-123409.2990829036716605,0.6458607532464041,0.7195887075393405,0.2550449746465532
59093.00000,652190469.1826417446136475,322127.9607744868844748,-197172.0097627007635310,-117715.1892096854280680,0.6019373721260242,0.7484105802394088,0.2720355086632302
59093.25000,652212069.1826417446136475,334641.2794131831033155,-180717.1058331048698165,-111664.0652365584974177,0.5564559523849139,0.7747783991924658,0.2880955824517423
59093.50000,652233669.1826417446136475,346156.7121196561492980,-163719.5984085788950324,-105276.4181184654153185,0.5095654156652535,0.7986443268257006,0.3031893700811541
59093.75000,652255269.1826417446136475,356645.4366053162957542,-146233.9746130480489228,-98573.4761608719418291,0.4614153343052141,0.8199683284310160,0.3172844203753280
59094.00000,652276869.1826417446136475,366081.8641400673077442,-128315.5036011790070916,-91577.1324297039536759,0.4121554633088569,0.8387179969920560,0.3303516263413083
59094.25000,652298469.1826417446136475,374443.6386433709412813,-110020.0739342543674866,-84309.8729737105313689,0.3619352948784686,0.8548683512635292,0.3423651805755073
59094.50000,652320069.1826417446136475,381711.6264252448454499,-91404.0355910420767032,-76794.7061574864928843,0.3109036386505197,0.8684016088591315,0.3533025171154663
59094.75000,652341669.1826417446136475,387869.8971651736646891,-72524.0471301611250965,-69055.0933908449223964,0.2592082306394117,0.8793069365845663,0.3631442404306901
59095.00000,652363269.1826417446136475,392905.6967794508673251,-53436.9284672181238420,-61114.8815228466628469,0.2069953736602867,0.8875801807011549,0.3718740424673403
59095.25000,652384869.1826417446136475,396809.4128840287448838,-34199.5196675275947200,-52998.2371467406337615,0.1544096116831359,0.8932235802094701,0.3794786088713909
59095.50000,652406469.1826417446136475,399574.5336087995092385,-14868.5460846331734501,-44729.5830356667211163,0.1015934401775092,0.8962454665900257,0.3859475157069958
59095.75000,652428069.1826417446136475,401197.6005589184351265,4499.5099025678873659,-36333.5368986574321752,0.0486870540550548,0.8966599537205904,0.3912731181560050
59096.00000,652449669.1826417446136475,401678.1567482234677300,23848.5303840514752665,-27834.8526127944569453,-0.0041718656768651,0.8944866219009407,0.3954504328263674
59096.25000,652471269.1826417446136475,401018.6903482229099609,43122.8765607412715326,-19258.3640509418692091,-0.0568483259651454,0.8897502000567646,0.3984770154112087
59096.50000,652492869.1826417446136475,399224.5751028551021591,62267.4965397701525944,-10628.9315858800000569,-0.1092101564208027,0.8824802502620097,0.4003528355233947
59096.75000,652514469.1826417446136475,396304.0082544353208505,81228.0263777171203401,-1971.3913116683031603,-0.1611281051859097,0.8727108587163830,0.4010801505822928
59097.00000,652536069.1826417446136475,392267.9468095312477089,99950.8845554179424653,6689.4930178151707878,-0.2124758969905216,0.8604803372489908,0.4006633806530292
59097.25000,652557669.1826417446136475,387130.0429456787533127,118383.3601545954443282,15329.0753742286269699,-0.2631302549484795,0.8458309392950158,0.3991089861343183
59097.50000,652579269.1826417446136475,380906.5793209998519160,136473.6950900245283265,23922.8702457843646698,-0.3129708881306965,0.8288085941169555,0.3964253501615210
59097.75000,652600869.1826417446136475,373616.4049997727852315,154171.1608301076921634,32446.5929554872163862,-0.3618804474119354,0.8094626628230264,0.3926226675397355
59098.00000,652622469.1826417446136475,365280.8726484177168459,171426.1301127993792761,40876.1976666287227999,-0.4097444525136016,0.7878457194823860,0.3877128419517772
59098.25000,652644069.1826417446136475,355923.7775889548938721,188190.1442320945789106,49187.9132723560906015,-0.4564511935558647,0.7640133603552687,0.3817093930997618
59098.50000,652665669.1826417446136475,345571.2992214985424653,204415.9765322480525356,57358.2774009162531001,-0.5018916107903446,0.7380240439532021,0.3746273753401730
59098.75000,652687269.1826417446136475,334251.9452444578637369,220057.6928021205530968,65364.1688007092670887,-0.5459591565132096,0.7099389643256402,0.3664833092634660
59099.00000,652708869.1826417446136475,321996.4990113963722251,235070.7093102528888267,73182.8383993795141578,-0.5885496434620677,0.6798219596382423,0.3572951275524784
59099.25000,652730469.1826417446136475,308837.9702674582367763,249411.8492622065823525,80791.9393586716323625,-0.6295610842834726,0.6477394577664577,0.3470821363304374
59099.50000,652752069.1826417446136475,294811.5494062675279565,263039.3984951596357860,88169.5564715414948296,-0.6688935269268431,0.6137604602760928,0.3358649930797257
59099.75000,652773669.1826417446136475,279954.5652804973069578,275913.1612504654331133,95294.2352699099283200,-0.7064488910814720,0.5779565657983323,0.3236657020766082
59100.00000,652795269.1826417446136475,264306.4464859804138541,287994.5168825718574226,102145.0112303305213572,-0.7421308110331428,0.5404020334266691,0.3105076281439201
59100.25000,652816869.1826417446136475,247908.6859202936466318,299246.4783719503320754,108701.4394805308256764,-0.7758444905755087,0.5011738863591977,0.2964155293695909
59100.50000,652838469.1826417446136475,230804.8082922289322596,309633.7535098577500321,114943.6254219870752422,-0.8074965758766983,0.4603520555786407,0.2814156092732742
59100.75000,652860069.1826417446136475,213040.3401281028054655,319122.8096133004873991,120852.2566921943362104,-0.8369950524719900,0.4180195628798810,0.2655355887151847
59101.00000,652881669.1826417446136475,194662.7816847087815404,327681.9426079656113870,126408.6368943932320690,-0.8642491728307248,0.3742627420429066,0.2488047976407206
59101.25000,652903269.1826417446136475,175721.5800363739544991,335281.3512848092359491,131594.7215221161895897,-0.8891694212164550,0.3291714963425794,0.2312542865110228
59101.50000,652924869.1826417446136475,156268.1024556572083384,341893.2174896306823939,136393.1564997066161595,-0.9116675228237080,0.2828395899187218,0.2129169569983197
59101.75000,652946469.1826417446136475,136355.6090536497067660,347491.7929435857222416,140787.3197476272180211,-0.9316565044191107,0.2353649697726977,0.1938277112117833
59102.00000,652968069.1826417446136475,116039.2234875049180118,352053.4933134290622547,144761.3661615864839405,-0.9490508139113700,0.1868501142779160,0.1740236183479114
59102.25000,652989669.1826417446136475,95375.9003808772249613,355557.0000509785604663,148300.2763661214266904,-0.9637665064077948,0.1374024031023909,0.1535440972324104
59102.50000,653011269.1826417446136475,74424.3879390997317387,357983.3703992693335749,151389.9095649626397062,-0.9757215043516037,0.0871345023243872,0.1324311127273448
59102.75000,653032869.1826417446136475,53245.1840776822573389,359316.1558152491343208,154017.0607607559068128,-0.9848359392352560,0.0361647572694319,0.1107293834107082
59103.00000,653054469.1826417446136475,31900.4842234615607595,359541.5288827398908325,156169.5225539003149606,-0.9910325821059829,-0.0153824157898751,0.0884865972919479
59103.25000,653076069.1826417446136475,10454.1187969033817353,358648.4185819363920018,157836.1516527078929357,-0.9942373695702800,-0.0673761494398197,0.0657536316063679
59103.50000,653097669.1826417446136475,-11028.5217527845325094,356628.6535405017784797,159006.9401331681874581,-0.9943800312083990,-0.1196787684186624,0.0425847719373781
59103.75000,653119269.1826417446136475,-32480.5766040804155637,353477.1126144098234363,159673.0913748025486711,-0.9913948231661563,-0.1721454700640651,0.0190379250555237
59104.00000,653140869.1826417446136475,-53833.8212424181983806,349191.8818329218775034,159827.1004680958285462,-0.9852213711321992,-0.2246240573018860,-0.0048251810520332
59104.25000,653162469.1826417446136475,-75018.7935418467823183,343774.4163914756500162,159462.8387378771149088,-0.9758056238887226,-0.2769547412239418,-0.0289388174213365
59104.50000,653184069.1826417446136475,-95964.9416279977594968,337229.7059914323035628,158575.6418559702578932,-0.9631009160427700,-0.3289700318628652,-0.0532331030237399
59104.75000,653205669.1826417446136475,-116600.7958378693874693,329566.4414082337170839,157162.4008248353493400,-0.9470691355145771,-0.3804947370327983,-0.0776338916065070
59105.00000,653227269.1826417446136475,-136854.1669585026684217,320797.1797303637722507,155221.6549058863602113,-0.9276819874868978,-0.4313460901514367,-0.1020627065578109
59105.25000,653248869.1826417446136475,-156652.3727004372049123,310938.5052527502994053,152753.6853404499997851,-0.9049223423811902,-0.4813340282959241,-0.1264367344418571
